//X;Y;Z;R;G;B;Scalar field;Illuminance (PCV)
-12.572138786;2.751765966;17.100252151;147;155;174;0.586844;0.817797
-10.542015076;-5.541810036;10.369776726;96;106;105;0.276641;0.855932
-14.952682495;3.255123377;17.233215332;89;82;113;0.437408;0.872881
-14.775197983;2.692314625;13.098644257;61;82;75;0.276641;0.847458
-4.632978439;1.036292315;16.378093719;164;181;209;0.195615;0.843220
-11.515529633;-1.001427770;13.808746338;142;162;189;0.276641;0.822034
-2.102196693;-6.618180752;16.651329041;123;129;163;0.276641;0.911017
-5.083416939;2.007826805;16.946750641;145;167;204;0.437408;0.936441
-14.365346909;2.976131439;17.434110641;121;130;171;0.437408;0.902542
-1.419136524;-5.066190243;18.912475586;44;50;66;0.391230;0.843220
-0.561781645;-6.506512642;19.451322556;82;83;103;0.852665;0.961864
-6.432729244;1.357574105;19.455526352;116;127;157;0.586844;0.868644
-19.038806915;0.348603249;18.768449783;83;80;111;0.479156;0.906780
-18.354095459;2.191055536;9.722165108;38;42;45;0.276641;0.881356
-6.396840572;-2.691667318;11.100757599;161;169;171;0.437408;0.868644
-17.242656708;-0.652823448;14.585353851;58;56;67;0.437408;0.885593
-10.957739830;2.057107449;9.336949348;165;173;160;0.195615;0.894068
-1.913404465;-7.043692112;19.635286331;154;165;187;0.618588;0.957627
-7.620739937;-4.290250301;17.164321899;175;183;196;0.917515;0.902542
-8.719964027;1.848278522;20.707239151;126;141;164;0.586844;0.902542
-9.608791351;-0.132453084;20.138364792;80;78;83;0.195615;0.809322
-20.076456070;1.954390287;19.302762985;117;114;133;0.553282;0.911017
-10.292198181;-4.620031834;11.092993736;187;190;205;0.195615;0.855932
-8.548315048;4.752607822;19.536205292;88;91;134;0.437408;0.881356
-1.884836912;-7.934655666;13.705640793;52;52;62;0.276641;0.872881
-2.036613464;-8.685396194;17.918357849;85;73;95;0.391230;0.919492
-13.179676056;1.648826838;13.008081436;81;70;74;0.338815;0.855932
-3.450159073;1.972683311;10.650757790;73;71;72;0.276641;0.851695
-5.590929985;2.511406422;16.768621445;94;112;122;0.479156;0.915254
-8.916517258;2.351861000;20.394861221;73;66;74;0.195615;0.805085
-13.150621414;-9.781129837;15.400339127;93;84;115;0.276641;0.834746
-0.528663635;4.285472870;16.989593506;106;108;131;0.437408;0.902542
-6.926791668;-0.303663611;9.159001350;131;144;197;0.195615;0.834746
-19.915922165;-0.771711349;12.125175476;103;116;135;0.276641;0.877119
