//X;Y;Z;Scalar field;Approx. distances;Illuminance (PCV)
-1.220100045;-12.319899559;9.803500175;589.000000;0.235374;0.889831
-1.482800007;-10.685400009;9.737000465;589.000000;0.429732;0.851695
-0.602599978;-12.899800301;10.727600098;589.000000;0.470748;0.838983
-1.031399965;-11.437700272;9.912699699;589.000000;0.407679;0.919492
-1.798699975;-12.436100006;8.804100037;589.000000;0.576546;0.872881
-0.710699975;-12.907299995;10.640899658;589.000000;0.407679;0.864407
-0.229100004;-11.607500076;9.743800163;589.000000;0.303866;0.877119
-1.426499963;-11.085399628;9.814900398;589.000000;0.235374;0.796610
-0.520399988;-13.142000198;10.234700203;589.000000;0.235374;0.826271
-0.386900008;-11.553799629;9.595199585;589.000000;0.235374;0.860169
-0.779999971;-12.589900017;11.042300224;589.000000;0.384364;0.898305
-1.102399945;-10.876600266;10.269000053;589.000000;0.271786;0.940678
-0.489600003;-13.011799812;10.803500175;589.000000;0.508466;0.868644
-0.635699987;-10.960200310;9.310799599;589.000000;0.332869;0.860169
-0.525699973;-13.051099777;10.996600151;589.000000;0.622741;0.919492
-1.324300051;-11.848999977;10.092100143;589.000000;0.489970;0.894068
-0.769100010;-11.395999908;9.774999619;589.000000;0.303866;0.830508
-1.039999962;-12.302100182;9.653599739;589.000000;0.235374;0.860169
-0.749800026;-11.325699806;9.994600296;589.000000;0.429732;0.949153
-1.590299964;-12.191699982;8.847399712;589.000000;0.407679;0.877119
-1.866999984;-11.553099632;9.062500000;589.000000;0.192182;0.915254
-0.686200023;-13.305999756;10.552300453;589.000000;0.271786;0.838983
-1.553099990;-11.661600113;8.862299919;589.000000;0.192182;0.906780
-1.492599964;-11.065799713;9.726699829;589.000000;0.192182;0.817797
-0.987399995;-12.686800003;10.830400467;589.000000;0.235374;0.860169
-0.559899986;-10.876099586;9.611800194;589.000000;0.303866;0.885593
-1.723099947;-12.502300262;9.086299896;589.000000;0.560302;0.830508
-0.584299982;-13.078300476;10.498700142;589.000000;0.192182;0.843220
-1.308799982;-11.883999825;9.623100281;589.000000;0.271786;0.838983
-1.329200029;-11.422599792;9.810799599;589.000000;0.192182;0.809322
-1.276499987;-11.922900200;9.947099686;589.000000;0.508466;0.877119
