//X;Y;Z;R;G;B;Illuminance (PCV);Nx;Ny;Nz
-28.254278183;19.370449066;9.543217659;255;255;255;1;0.000000;0.000000;0.000000
-32.635818481;19.613777161;13.582559586;255;255;255;1;0.000000;0.000000;0.000000
-29.980644226;19.124711990;12.785917282;255;255;255;1;0.000978;0.999999;0.000978
-27.996122360;16.291700363;11.176232338;255;255;255;1;0.000000;0.000000;0.000000
-29.936752319;21.844654083;15.610911369;255;255;255;1;0.999999;0.000978;0.000978
-26.297843933;21.799783707;16.556646347;255;255;255;1;0.707106;0.707106;0.001384
-32.717170715;22.347187042;16.047098160;255;255;255;1;0.000000;0.000000;0.000000
-30.283384323;15.020771980;11.492354393;255;255;255;1;0.000000;0.000000;0.000000
-30.455867767;13.904581070;11.468315125;255;255;255;1;0.000978;0.999999;0.000978
-30.989589691;14.889104843;8.345713615;255;255;255;1;0.000978;0.999999;0.000978
-33.245128632;21.295398712;15.232273102;255;255;255;1;0.999999;0.000978;0.000978
-25.938554764;21.928087234;14.254423141;255;255;255;1;0.999999;0.000978;0.000978
-30.578742981;19.492614746;6.417311192;255;255;255;1;0.000000;0.000000;0.000000
-35.757873535;14.881675720;12.338022232;255;255;255;1;0.000978;0.999999;0.000978
-29.799720764;19.590183258;17.495512009;255;255;255;1;0.999999;0.000978;0.000978
-26.333427429;21.801977158;15.132755280;255;255;255;1;0.000000;0.000000;0.000000
-32.327301025;21.069097519;10.990775108;255;255;255;1;0.999999;0.000978;0.000978
-29.016939163;15.613564491;14.896373749;255;255;255;1;0.000000;0.000000;0.000000
-29.670202255;22.586473465;10.240014076;255;255;255;1;0.000978;0.999999;0.000978
-30.147531509;23.863765717;10.933046341;255;255;255;1;0.000978;0.999999;0.000978
-28.644403458;19.881092072;9.536624908;255;255;255;1;0.000000;0.000000;0.000000
-32.005634308;16.307989120;7.368048668;255;255;255;1;0.000978;0.999999;0.000978
-35.136383057;16.202110291;10.198641777;255;255;255;1;0.000000;0.000000;0.000000
-30.212850571;24.313045502;10.229175568;255;255;255;1;0.000978;0.999999;0.000978
-33.212322235;16.228290558;8.263643265;255;255;255;1;0.000978;0.999999;0.000978
-29.945499420;15.904943466;16.303812027;255;255;255;1;0.999999;0.000978;0.000978
-32.296859741;20.367734909;10.626379967;255;255;255;1;0.999999;0.000978;0.000978
-26.130905151;22.434204102;15.563700676;255;255;255;1;0.000000;0.000000;0.000000
-37.284725189;19.876516342;14.826599121;255;255;255;1;0.000978;0.999999;0.000978
-27.521915436;20.653711319;8.620161057;255;255;255;1;0.000000;0.000000;0.000000
-34.139629364;20.557382584;17.393888474;255;255;255;1;0.000978;0.999999;0.000978
-31.025142670;15.127967834;7.954403877;255;255;255;1;0.000978;0.999999;0.000978
-34.516719818;20.281002045;14.192856789;255;255;255;1;0.999999;0.000978;0.000978
-39.505210876;18.709264755;11.019381523;255;255;255;1;0.000978;0.999999;0.000978
-28.810922623;12.710996628;8.894805908;255;255;255;1;0.000978;0.999999;0.000978
-30.251010895;23.415073395;8.207607269;255;255;255;1;0.000000;0.000000;0.000000
-34.148307800;18.677804947;8.816719055;255;255;255;1;0.000978;0.999999;0.000978
-27.967123032;18.893486023;9.563638687;255;255;255;1;0.000000;0.000000;0.000000
-31.747833252;22.582183838;12.758930206;255;255;255;1;0.000000;0.000000;0.000000
-30.911018372;22.825315475;12.600204468;255;255;255;1;0.000000;0.000000;0.000000
-33.172794342;15.347340584;10.572182655;255;255;255;1;0.000978;0.999999;0.000978
-27.402744293;21.450073242;15.121837616;255;255;255;1;0.000978;0.999999;0.000978
-24.402532578;17.905473709;13.715566635;255;255;255;1;0.000000;0.000000;0.000000
-29.853183746;16.584981918;16.547828674;255;255;255;1;0.999999;0.000978;0.000978
-29.031406403;15.171655655;16.309057236;255;255;255;1;0.000000;0.000000;0.000000
-30.873630524;24.111156464;8.474517822;255;255;255;1;0.000000;0.000000;0.000000
-30.171756744;15.383535385;16.393627167;255;255;255;1;0.000000;0.000000;0.000000
-31.925552368;24.873544693;13.923003197;255;255;255;1;0.000000;0.000000;0.000000
-29.640584946;19.923925400;7.888572216;255;255;255;1;0.000000;0.000000;0.000000
-26.439123154;18.151565552;14.691991806;255;255;255;1;0.000000;0.000000;0.000000
-34.767681122;16.769073486;9.200741768;255;255;255;1;0.000000;0.000000;0.000000
-27.763101578;21.160413742;9.572190285;255;255;255;1;0.000000;0.000000;0.000000
-31.362884521;20.868858337;8.071567535;255;255;255;1;0.000000;0.000000;0.000000
-37.925308228;18.273139954;10.169747353;255;255;255;1;0.999999;0.000978;0.000978
-27.930633545;16.167213440;9.596232414;255;255;255;1;0.000000;0.000000;0.000000
-29.331737518;23.295799255;9.255283356;255;255;255;1;0.000000;0.000000;0.000000
-24.040685654;17.390966415;14.604466438;255;255;255;1;0.999999;0.000978;0.000978
-37.425109863;20.139490128;15.852022171;255;255;255;1;0.000978;0.999999;0.000978
